time,x,y,z,H,W
65.25,-0.2576988279060846,0.005650185958648558,0.9662087711744614,4,11
65.5,-0.3203817764163859,0.010552453755511497,0.9472297308784278,4,11
65.75,-0.20437494495287967,0.03731193901980095,0.9781813232126699,4,11
66.0,-0.14885716973616522,0.014331665976104548,0.9887548464450062,4,11
66.25,-0.1553018270450618,0.00040956176890727045,0.9878669823289079,4,11
66.5,-0.18729873219414545,-0.0003481389074240608,0.98230293887261,4,11
66.75,-0.2253114114588225,0.0024581170823149492,0.9742836986868058,4,11
67.0,-0.2659227893797377,0.005234889659091815,0.9639801170245976,4,11
67.25,-0.25409935236282083,-0.023225747102531065,0.9668992107765546,4,11
67.5,-0.26700493102266,-0.05042378006419428,0.9623750875898767,4,11
67.75,-0.26210560730750654,-0.06548840855168635,0.962814581819018,4,11
68.0,-0.28777892241681086,-0.04362741666083235,0.9567026394487063,4,11
68.25,-0.32588933003970366,0.020981888369953315,0.9451750657559184,4,11
68.5,-0.3174178075347257,0.048881782752073555,0.9470250824422903,4,11
68.75,-0.29322708844926554,0.05163453411631656,0.9546474477450603,4,11
69.0,-0.2260684811308121,0.057188200186683136,0.9724312580324717,4,11
69.25,-0.15008698086420985,0.03562816180440303,0.9880306332606826,4,11
69.5,-0.10445204451444158,0.023570000580344724,0.9942505848473994,4,11
69.75,-0.05909840104671118,0.029808079626814275,0.997807024119736,4,11
70.0,-0.03813741994272585,0.03794937349525332,0.9985516422556371,4,11
70.25,-0.038905748313307134,0.04144316673020217,0.998383096150748,4,11
70.5,-0.04304468555921194,0.04098484416699914,0.9982321361255183,4,11
70.75,-0.05112052235748392,0.040240073389067994,0.99788147025964,4,11
71.0,-0.054918938798843096,0.03800312212048347,0.9977673440588767,4,11
71.25,-0.06934355488247687,0.040679471610994306,0.9967630871905878,4,11
71.5,-0.08393746658739237,0.04734872519972619,0.9953454676266178,4,11
71.75,-0.09674405591610585,0.05156352263473173,0.9939727314058463,4,11
72.0,-0.13244505478006902,0.04611615016124739,0.9901169669077539,4,11
72.25,-0.1720642086731894,0.044218690174257544,0.9840927880707906,4,11
72.5,-0.21086501571328725,0.034320259091758995,0.9769125165356977,4,11
72.75,-0.13294462390862996,0.05724629709268019,0.989468841572573,4,11
73.0,-0.021444963994949887,0.09585806867270517,0.9951639785430307,4,11
73.25,0.030563342978076946,0.11203893877836578,0.9932336876402359,5,12
73.5,0.0453038662990283,0.10832872785999892,0.9930822958942496,4,12
73.75,0.031189835578472633,0.0912635889791518,0.9953382095967339,4,12
74.0,0.03408569781464278,0.08933657978057509,0.9954180733328072,4,12
74.25,0.03042159933552823,0.09066437170390976,0.9954167458895815,4,12
74.5,0.027122346629111206,0.09565638359376093,0.9950448404926752,4,12
74.75,0.05466574164229148,0.0709143146189173,0.9959833415639179,4,12
75.0,0.10569130065457452,-0.006513766052066156,0.994377654524559,4,12
75.25,0.2652415622107133,-0.06599914934073908,0.9619204883784933,4,12
75.5,0.4446334159056457,-0.12134432654268495,0.8874551706289052,3,13
75.75,0.5416864325188802,-0.13150746899013008,0.8302298443351567,3,13
76.0,0.5759914298014636,-0.049378760725263066,0.8159629959651986,4,13
76.25,0.5842171587208159,0.016572912721389395,0.8114281545645965,4,13
76.5,0.5423441419446302,0.06584944727215286,0.8375718966108491,4,13
76.75,0.5143442540947855,0.11608661376360097,0.8496904650427587,5,13
77.0,0.4756898607077423,0.14258054708814377,0.8679803822736402,5,13
77.25,0.4154241162225666,0.15755729524277828,0.8958786203367503,5,13
77.5,0.29641579855384503,0.13177722735659897,0.9459241178434418,5,12
77.75,0.135815457225724,0.10800096311682186,0.9848299109716391,4,12
78.0,0.00488259079348601,0.0829760401008522,0.9965395812893361,4,12
78.25,-0.11253054687789152,0.05602519973631906,0.9920675647423759,4,11
